"","ecode","onscode","authority","region","class","tstb_2223","tstb_2324","areabandd_2324"
"69","E0901","E06000063","Cumberland","NW","UA",87047.2955,88328.6,2174.56
"70","E1932","E07000096","Dacorum","E","SD",59328.3,59922.3,2086.85
"71","E1301","E06000005","Darlington","NE","UA",34464.494,34814.5,2152.96
"72","E2233","E07000107","Dartford","SE","SD",39544.2,40288.4,2077.98
"73","E1001","E06000015","Derby","EM","UA",70030.6,71038.7,2009.11
"74","E1035","E07000035","Derbyshire Dales","EM","SD",30539.4,30662.5,2124.71
"75","E4402","E08000017","Doncaster","YH","MD",84601.8,85978.9,1925.95
"76","E1203","E06000059","Dorset Council","SW","UA",150617.896,152424,2387.81
"77","E2234","E07000108","Dover","SE","SD",39763.2,39974.4,2150.91
"78","E4603","E08000027","Dudley","WM","MD",93790.9,93834.6,1843.97
"79","E1302","E06000047","Durham","NE","UA",143695.827,145675.9,2316.13
"80","E5036","E09000009","Ealing","L","OLB",118648.5,121612.9,1840.89
"81","E0532","E07000009","East Cambridgeshire","E","SD",31115.3,31964.9,2143.32
"82","E1131","E07000040","East Devon","SW","SD",60804.95477,61653.1,2235.71
"83","E1732","E07000085","East Hampshire","SE","SD",51908.7,52581.3,2028.25
"84","E1933","E07000242","East Hertfordshire","E","SD",62609.7,63892.8,2116.96
"85","E2532","E07000137","East Lindsey","EM","SD",45793,46377,2030.68
"86","E2001","E06000011","East Riding of Yorkshire","YH","UA",120900.3,122527.8,2124
"87","E3432","E07000193","East Staffordshire","WM","SD",39059.2,40060,2054.05
"88","E3538","E07000244","East Suffolk","E","SD",89023.4,90340.9,2018.75
"89","E1432","E07000061","Eastbourne","SE","SD",34754,35294.8,2307.76
"90","E1733","E07000086","Eastleigh","SE","SD",48373.4,48510.2,2022.74
"91","E3631","E07000207","Elmbridge","SE","SD",65568.987,65980,2229.76
"92","E5037","E09000010","Enfield","L","OLB",96369,96794,1952.44
"93","E1537","E07000072","Epping Forest","E","SD",54865.3,54883.6,2002.25
"94","E3632","E07000208","Epsom & Ewell","SE","SD",33251.4264,33521.1,2205.25
