"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2017-18 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2016-17 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","12. Is the council tax your authority set subject to a referendum?","13. Are one or more precepting authorities in your area holding a referendum?","14. Average council tax of major precepting authorities in the billing authority's area","...31","...32","15. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 14(a) + 14(b) + 14(c))","16. All parishes that exist in the authority's area in 2016-17 (whether they set a precept or not)","...35","17. Charter Trustees in the authority's area - 2016-17","...37","18. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2016-17","...39"
"1",NA,NA,NA,NA,"2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18","2016-17","2017-18",NA,NA,NA,NA,NA,"County or GLA","Police","Fire",NA,"Number","CTB","Number","Tax Base","Number","Tax Base"
"319","E4305","Wirral","MD",NA,"120274132.01838","127430400","0","0","120274132.01838","127430400","40077376","37540700","93521.29333333332","94376.744185999996","96.75","96.75","0","0","90481.9","91309.5","1329.26","1395.59","1329.26","1395.59","3641417.9398049996",39.8799461151906,3,"No","No","0","165.97","74.34","1635.8999999999999","0","0","0","0","0","0"
"320","E3641","Woking","SD",NA,"8839797","9186516","0","0","8839797","9186516","0","0","40574.5","41076.400000000001","98","98.4","99","101.8","39862","40521","221.76","226.71","221.76","226.71","0",0,0,"No","No","1331.55","224.57","0","1782.83","0","0","0","0","0","0"
"321","E0306","Wokingham","UA",NA,"89226153","95592060","3733880","3931863","85492273","91660197","0","0","66357.56","68114.59","99","99","307.39499999999998","0","66001.399999999994","67433.399999999994","1351.88","1417.58","1295.31","1359.27","2620415",38.8593041430508,3,"No","No","0","170.28","62.49","1650.35","17","67433.400000000009","0","0","17","67433.400000000009"
"322","E4607","Wolverhampton","MD",NA,"86035576","90936991","0","0","86035576","90936991","11315046","10983129","62310.6","63235.6","96.943290000000005","97.093220000000002","0","0","60405.9","61397.5","1424.29","1481.12","1424.29","1481.12","1749213",28.4899710900281,2,"No","No","0","116.55","57.14","1654.81","0","0","0","0","0","0"
"323","E1837","Worcester","SD",NA,"5346922","5593035","130258","135886","5216664","5457149","0","0","30952.5","31455.55","99","99","0","0","30643","31141","174.49","179.6","170.24","175.24","0",0,0,"No","No","1155.31","189.6","79.53","1604.0399999999997","2","6109","0","0","2","6109"
"324","E3837","Worthing","SD",NA,"8227860","8497970","0","0","8227860","8497970","0","0","38220.26","38700.050000000003","97.75","97.75","0","0","37360.300000000003","37829.300000000003","220.23","224.64","220.23","224.64","0",0,0,"No","No","1255.5899999999999","153.91","0","1634.14","0","0","0","0","0","0"
"325","E1838","Wychavon","SD",NA,"7606230","8042703","1994416","2138587","5611814","5904116","0","0","47395","48949","99.5","99.5","0","0","47158","48704.3","161.29","165.13","119","121.22","0",0,0,"No","No","1155.31","189.6","79.53","1589.57","93","48704.3","0","0","68","48377.9"
"326","E0435","Wycombe","SD",NA,"11519453.0612","11850726","2383113","2609937","9136340.0612000003","9240789","0","0","66967.100000000006","67731.399999999994","98","98","745.1","762.4","66372.899999999994","67139.199999999997","173.56","176.51","137.65","137.63999999999999","0",0,0,"No","No","1218.08","170.28","60.88","1625.75","28","45168.65","1","21970.52","27","66917.75"
"327","E2344","Wyre","SD",NA,"7070150","7383399","603430","644769","6466720","6738630","0","0","35997.4","36515.06","98","98","0","0","35277.5","35784.800000000003","200.42","206.33","183.31","188.31","0",0,0,"No","No","1221.74","165.45","65.5","1659.02","21","18177.400000000001","0","0","21","18177.400000000001"
"328","E1839","Wyre Forest","SD",NA,"7636360","7760335","915540","976475","6720820","6783860","0","0","33225.5","33537.129999999997","98.5","98.5","0","0","32727.1","33034.1","233.33","234.92","205.36","205.36","0",0,0,"No","No","1155.31","189.6","79.53","1659.36","13","33034","0","0","12","32873"
