"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2019-20 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2018-19 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","14. Is the council tax your authority set subject to a referendum?","15. Are one or more precepting authorities in your area holding a referendum?","16. Average council tax of major precepting authorities in the billing authority's area","...31","...32","...33","17. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 16(a) + 16(b) + 16(c) +16(d))","18. All parishes that exist in the authority's area in 2019-20 (whether they set a precept or not)","...36","19. Charter Trustees in the authority's area - 2019-20","...38","20. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2019-20","...40","12. How do you wish to apply the referendum priniciples?","Local authority...42","Taxbase for setting council tax...43","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...44","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...45","Total Adult Social Care precept...46","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...47","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...48","Local authority...49","Taxbase for setting council tax...50","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...51","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...52","Total Adult Social Care precept...53","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...54","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...55","Local authority...56","Taxbase for setting council tax...57","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...58","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...59","Total Adult Social Care precept...60","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...61","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...62","Local authority...63","Taxbase for setting council tax...64","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...65","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...66","Total Adult Social Care precept...67","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...68","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...69","Local authority...70","Taxbase for setting council tax...71","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...72","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...73","Total Adult Social Care precept...74","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...75","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...76","Local authority...77","Taxbase for setting council tax...78","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...79","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...80","Total Adult Social Care precept...81","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...82","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...83"
"51","E1534","Castle Point","SD",NA,"7870336","8188652","242538","244682","7627798","7943970","0","0","31064.3","31304","98","98.350000000000009","0","0","30443","30787","258.52999999999997","265.98","250.56","258.02999999999997",0,"0","0","No","No","1270.44","192.96","72.45","0","1801.8300000000002","1","11872","0","0","1","11872","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"52","E0203","Central Bedfordshire","UA",NA,"160175231","165894357","11670034","12285845","148505197","153608512","700100","736362","100960.6","103396","99","99","0","0","99951","102362","1602.54","1620.66","1485.78","1500.64",0,"0","0","No","No","0","202.09","98.45","0","1921.2","79","102362","0","0","74","102221","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"53","E2432","Charnwood","SD",NA,"11242651","11784573","3547050","3677802","7695601","8106771","1194085","1213277","56371.4","57322.2","98.5","98.5","0","0","55525.8","56462.400000000001","202.48","208.72","138.6","143.58000000000001",0,"0","0","No","No","1292.18","223.23","66.64","0","1790.7700000000002","36","40278.9","0","0","32","39929.4","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"54","E1535","Chelmsford","SD",NA,"14844916","15475528","2460859","2539774","12384057","12935754","0","0","66023.739999999991","67162.89","99.198606440653009","99.269492423569034","0","0","65494.6","66672.3","226.66","232.11","189.09","194.02",0,"0","0","No","No","1270.44","192.96","72.45","0","1767.9600000000003","27","42153.1","0","0","26","42107.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"55","E1631","Cheltenham","SD",NA,"8724541.9000000004","9194689.4100000001","249848.9","277803.40999999997","8474693","8916886","0","0","42166.9","43078.99","99","99","0","0","41745.199999999997","42648.2","209","215.59","203.01","209.08",0,"0","0","No","No","1293.7","250.49","0","0","1759.78","5","14734.7","0","0","5","14734.7","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"56","E3131","Cherwell","SD",NA,"11416014","12053800","4909836","5130618","6506178","6923182","0","0","53501.938775510207","54720.800000000003","98","98","249.7","250.5","52681.599999999999","53876.9","216.7","223.73","123.5","128.5",0,"0","0","No","No","1468.83","206.28","0","0","1898.84","79","53876.9","0","0","72","53568.9","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"57","E0603","Cheshire East","UA",NA,"213796683","224138479","7362187","7895749","206434496","216242730","0","0","148488.68","151027.81637782737","99","99","0","0","147003.79999999999","149517.5","1454.36","1499.08","1404.28","1446.27",0,"0","0","No","No","0","200.44","77.739999999999995","0","1777.26","114","149517.5","0","0","109","149184.6","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"58","E0604","Cheshire West and Chester","UA",NA,"175077130","188847855","3492625","3766562","171584505","185081293","315046","323677","120184.6","123472.6","98.5","98.5","129.69999999999999","137.1","118511.5","121757.6","1477.3","1551.01","1447.83","1520.08",3526100,"28.96","2.0002348342001479","No","No","0","200.44","77.739999999999995","0","1829.19","114","80580.2","2","40777.800000000003","93","120852.3","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"59","E1033","Chesterfield","SD",NA,"5033959","5229424","434068","447510","4599891","4781914","0","0","29207.200000000001","29442.27","98.5","98.5","0","0","28769.1","29000.6","174.98","180.32","159.88999999999999","164.89",0,"0","0","No","No","1322.88","216.6","76.22","0","1796.02","2","6467","0","0","2","6467","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"60","E3833","Chichester","SD",NA,"11298211","11751623","3070811","3174130","8227400","8577493","0","0","53064.7","53596.4","99","99","270.2","279.2","52804.3","53339.6","213.96","220.32","155.81","160.81",0,"0","0","No","No","1383.57","189.91","0","0","1793.8","67","53339.6","0","0","61","52870.400000000001","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"61","E0432","Chiltern","SD",NA,"11027834","11511635","3002424","3181044","8025410","8330591","0","0","45044.4","45397","98.5","98.5","0","0","44368.7","44716","248.55","257.44","180.88","186.3",0,"0","0","No","No","1329.64","206.28","64.569999999999993","0","1857.93","17","44716","0","0","17","44716","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"62","E2334","Chorley","SD",NA,"7495240","7813340","671461","685605","6823779","7127735","0","0","37171.79","37699.86","98.5","98.5","0","0","36614.199999999997","37134.400000000001","204.71","210.41","186.37","191.94",0,"0","0","No","No","1346.59","201.45","69.48","0","1827.93","23","26630.400000000001","0","0","22","26609.599999999999","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"63","E5010","City of London","ILB",NA,"6182037","6961996.6299999999","369559","373445","5812478","6588551.6299999999","223132.84","230449.68","7590.5","8194.77","95","95","0","0","7211","7785","857.31","894.28","806.06","846.31",125495,"16.12","2","No","No","78.38","0","0","0","972.66","2","148.6","0","0","2","148.6","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"64","E1536","Colchester","SD",NA,"13218640","13968400","1747939","1896420","11470701","12071980","0","0","61817.27","63186","99","99","760.9","776.9","61960","63331","213.34","220.56","185.13","190.62",0,"0","0","No","No","1270.44","192.96","72.45","0","1756.41","35","30817.1","0","0","29","30598.799999999999","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"65","E0934","Copeland","SD",NA,"5157572","5320939.76","1005288","1080600.8399999999","4152284","4240338.92","0","0","20942.240000000002","20977.25","98","98","0","0","20523.400000000001","20557.7","251.3","258.83","202.32","206.27",0,"0","0","No","No","1385.28","256.68","0","0","1900.79","29","20557.7","0","0","29","20557.7","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"66","E2831","Corby","SD",NA,"3767936","3888141","153601","175081","3614335","3713060","0","0","19265.7","19791.900000000001","99","99","0","0","19073","19594","197.55","198.44","189.5","189.5",0,"0","0","No","No","1236.0999999999999","245.04","60.76","0","1740.34","8","4320","0","0","8","4320","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"67","E0801","Cornwall","UA",NA,"303176301","320869973","22107780","24214385","281068521","296655588","1497158","1557710","192635.66","195525.2","99.1","99.1","496.44","496.5","191398.39999999999","194262","1584.01","1651.74","1468.5","1527.09",5705476,"29.37","2","No","No","0","212.28","0","0","1864.02","213","194262","0","0","206","192486.7","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"68","E1632","Cotswold","SD",NA,"8022768","8547426","2929126","3173229","5093642","5374197","0","0","40518.58","41893.5","99","99","184.39","208.51","40297.800000000003","41683.1","199.09","205.06","126.4","128.93",0,"0","0","No","No","1293.7","250.49","0","0","1749.25","114","41683.1","0","0","93","40354.400000000001","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"69","E4602","Coventry","MD",NA,"127252897","135191983.40000001","30870","34615.4","127222027","135157368","14572277","15075497","82213","84842.400000000009","98.3","98.3","0","0","80815.399999999994","83400.100000000006","1574.61","1621.01","1574.23","1620.59",0,"0","0","No","No","0","152.55000000000001","60.6","0","1834.1599999999999","3","2125.1999999999998","0","0","3","2125.1999999999998","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"70","E2731","Craven","SD",NA,"5114568","5284393","1359867","1405215","3754701","3879178","11963","11963","22774","22845.69","98.599270000000004","98.6","0","0","22455","22525.9","227.77","234.59","167.21","172.21",0,"0","0","No","No","1311.16","255.77","71.27","0","1872.79","70","22525.86","0","0","39","20856.599999999999","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"71","E3834","Crawley","SD",NA,"6862051","7182012","0","0","6862051","7182012","0","0","34657.65","35393.300000000003","99.5","99.5","0","0","34484.400000000001","35216.300000000003","198.99","203.94","198.99","203.94",0,"0","0","No","No","1383.57","189.91","0","0","1777.42","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"72","E5035","Croydon","OLB",NA,"167359210","180027644.61000001","0","0","167359210","180027644.61000001","1401000","1424000","128165.6","132237","97.25","97.5","0","0","124641","128931.1","1342.73","1396.31","1342.73","1396.31",1731543,"13.43","1.0002010828684844","No","No","320.51","0","0","0","1716.82","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"73","E1932","Dacorum","SD",NA,"11872110","12348042","778169","816114","11093941","11531928","0","0","57086.3","57615.9","99.399749999999997","99.4","0","0","56743.6","57270.2","209.22","215.61","195.51","201.36",0,"0","0","No","No","1359.94","188","0","0","1763.5500000000002","16","27102.299999999996","0","0","16","27102.299999999996","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"74","E1301","Darlington","UA",NA,"47492779","49670448","161779","174448","47331000","49496000","103731","105987","32600.5","33109.699999999997","99","99","101.1","95.1","32375.599999999999","32873.699999999997","1466.93","1510.95","1461.93","1505.64",0,"0","0","No","No","0","205.24","103.5","0","1819.69","24","6108.6","0","0","10","5632.2","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"75","E2233","Dartford","SD",NA,"7565601","7876883","1226423","1167348","6339178","6709535","0","0","37625.699999999997","38714.9","97.5","97.5","0","0","36685.1","37747","206.23","208.68","172.8","177.75",0,"0","0","No","No","1299.42","193.15","77.760000000000005","0","1779.0100000000002","8","18067.2","0","0","8","18067.2","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"76","E2832","Daventry","SD",NA,"7226551","7817071.75","2393495","2723596.29","4833056","5093475.46","0","0","31584.65","32254.6","98","98","0","0","30953","31609.5","233.47","247.3","156.13999999999999","161.13999999999999",0,"0","0","No","No","1236.0999999999999","245.04","60.76","0","1789.1999999999998","73","31609.5","0","0","61","31193.14","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"77","E1001","Derby","UA",NA,"93027221","97322992","0","0","93027221","97322992","77495","79041","68293.350000000006","69937.88","99","98.2","0","0","67610.399999999994","68679","1375.93","1417.07","1375.93","1417.07",0,"0","0","No","No","0","216.6","76.22","0","1709.8899999999999","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"78","E1035","Derbyshire Dales","SD",NA,"7409640","7660812","1519747","1609952","5889893","6050860","0","0","29066.39","29147.3","99.2","99.2","0","0","28833.9","28914.1","256.98","264.95","204.27","209.27",0,"0","0","No","No","1322.88","216.6","76.22","0","1880.65","101","28914.1","0","0","77","28180.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"79","E4402","Doncaster","MD",NA,"106043389","114209843","2202391","2343873","103840998","111865970","19455666","22125197","82318.399999999994","83951.3","98","98.6","0","0","80672","82776","1314.5","1379.75","1287.2","1351.43",2130654,"25.74","1.9996892479801118","No","No","0","194.16","73.13","0","1647.04","43","43124","0","0","39","42971","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
